종목코드,종목명,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"045390","대아티아이","우량기업부","3090","-70","-2.22","3160","3190","3090","483749","1516776935","217762734930","70473377"
"108380","대양전기공업","우량기업부","13040","-180","-1.36","13220","13330","12750","20057","259445080","124758022320","9567333"
"006580","대양제지","관리종목(소속부없음)","5630","160","2.93","5700","5700","5470","35536","195416320","151165500000","26850000"
"007680","대원","우량기업부","4990","-50","-0.99","5040","5150","4965","2897","14480180","67097905260","13446474"
"048910","대원미디어","우량기업부","11100","-50","-0.45","11120","11150","11050","17384","192733090","139626300600","12578946"
"005710","대원산업","우량기업부","6310","50","0.80","6270","6310","6200","12062","75436650","126437256000","20037600"
"290380","대유","관리종목(소속부없음)","2300","0","0.00","0","0","0","0","0","56841307600","24713612"
"120240","대정화금","우량기업부","17360","50","0.29","17310","17590","17120","42897","744391460","124825187760","7190391"
"003310","대주산업","중견기업부","1618","8","0.50","1610","1620","1607","65963","106432756","57264822300","35392350"
"078600","대주전자재료","우량기업부","90500","-4500","-4.74","93500","98100","90500","351532","32822630300","1400993666500","15480593"
"096350","대창솔루션","벤처기업부","494","-3","-0.60","510","510","486","1126087","561150417","80897938446","163761009"
"140520","대창스틸","우량기업부","2520","-15","-0.59","2535","2535","2505","4448","11202470","53195292360","21109243"
"131220","대한과학","벤처기업부","5990","-70","-1.16","6000","6050","5960","21607","129639010","44652395100","7454490"
"010170","대한광통신","중견기업부","1061","-9","-0.84","1071","1073","1058","136853","145596003","79056347126","74511166"
"054670","대한뉴팜","우량기업부","8190","-10","-0.12","8170","8290","8130","21411","175077540","117566794800","14354920"
"023910","대한약품","우량기업부","28250","50","0.18","27950","28300","27900","5616","157573650","169500000000","6000000"
"021040","대호특수강","중견기업부","3995","-25","-0.62","4020","4020","3935","15159","60114330","43355286065","10852387"
"021045","대호특수강우","중견기업부","8430","-10","-0.12","8610","8610","8000","717","5742330","3576393780","424246"
"067080","대화제약","중견기업부","10610","-580","-5.18","11070","11150","10530","440668","4761715140","197522656500","18616650"
"298540","더네이쳐홀딩스","우량기업부","14810","310","2.14","14370","14840","14270","55101","803952660","218463435560","14751076"
"032860","더라미","관리종목(소속부없음)","3640","0","0.00","0","0","0","0","0","143288374320","39364938"
"393890","더블유씨피","기술성장기업부","40000","-2150","-5.10","41500","41600","39400","623595","25105502000","1347860720000","33696518"
"299170","더블유에스아이","중견기업부","2000","-5","-0.25","2005","2025","1977","61123","122113161","60055926000","30027963"
"224060","더코디","투자주의환기종목(소속부없음)","5470","170","3.21","5390","5680","5340","12147","66599800","25973737060","4748398"
"213420","덕산네오룩스","우량기업부","39500","-900","-2.23","40000","40400","39100","84358","3344761000","980831570500","24831179"
"317330","덕산테코피아","우량기업부","32600","1550","4.99","28800","33950","28500","1442902","45238545000","599104152800","18377428"
"077360","덕산하이메탈","우량기업부","6520","30","0.46","6440","6520","6340","149687","963544570","296249253040","45437002"
"090410","덕신하우징","벤처기업부","1940","14","0.73","1977","1980","1929","395464","773116729","89403144300","46084095"
"263600","덕우전자","우량기업부","7670","-90","-1.16","7740","7740","7530","98602","751122090","122185477700","15930310"
"194480","데브시스터즈","우량기업부","46050","-1550","-3.26","48500","49100","44700","152836","7204303000","552525399000","11998380"
"263800","데이타솔루션","중견기업부","5700","70","1.24","5670","5830","5620","483371","2772706150","92433366000","16216380"
"206560","덱스터","기술성장기업부","8030","-220","-2.67","8190","8230","8030","42522","344134180","204056240080","25411736"
"261200","덴티스","벤처기업부","9230","-150","-1.60","9390","9390","9160","147154","1364286140","145923531000","15809700"
"067990","도이치모터스","우량기업부","6000","110","1.87","5890","6020","5770","440251","2618219830","187089300000","31181550"
"006620","동구바이오제약","우량기업부","5560","-100","-1.77","5650","5650","5540","53756","298582710","158265355520","28464992"
"100130","동국S&C","우량기업부","2940","25","0.86","2895","2940","2895","66988","195135605","168000420000","57143000"
"005160","동국산업","우량기업부","8680","1330","18.10","7450","8950","7410","15077388","126602406330","470842103760","54244482"
"075970","동국알앤에스","우량기업부","3410","-10","-0.29","3390","3490","3375","91408","312154545","62744000000","18400000"
"086450","동국제약","우량기업부","15870","-130","-0.81","15980","16120","15710","155081","2475472400","705580200000","44460000"
"099410","동방선기","중견기업부","2525","35","1.41","2465","2580","2435","268239","678880665","35350000000","14000000"
"033500","동성화인텍","우량기업부","11850","-280","-2.31","12190","12340","11350","439817","5279754410","355375503900","29989494"
"025950","동신건설","중견기업부","26100","-400","-1.51","26200","27750","24800","307389","8062447100","219240000000","8400000"
"088130","동아엘텍","우량기업부","8920","-250","-2.73","8950","9300","8740","415519","3731234920","95113406960","10662938"
"041930","동아화성","우량기업부","7400","-80","-1.07","7460","7470","7400","31845","236385910","116920000000","15800000"
"060380","동양에스텍","우량기업부","1871","-1","-0.05","1870","1878","1859","32958","61703623","36858700000","19700000"
"079960","동양이엔피","우량기업부","19700","90","0.46","19600","19750","19310","13066","254745080","154842000000","7860000"
"228340","동양파일","중견기업부","2215","15","0.68","2200","2215","2160","10345","22791915","44300000000","20000000"
"088910","동우팜투테이블","중견기업부","2765","-35","-1.25","2795","2795","2750","96049","265825040","71424827460","25831764"
"094170","동운아나텍","벤처기업부","20450","1140","5.90","19270","21800","18820","1509800","30851400680","387584371450","18952781"
"013120","동원개발","우량기업부","2770","-20","-0.72","2765","2795","2755","60414","167693050","251538437000","90808100"
"109860","동일금속","우량기업부","9260","-40","-0.43","9300","9300","9220","2097","19375850","84266000000","9100000"
"032960","동일기연","중견기업부","11540","-220","-1.87","11760","11780","11460","17143","198003830","43926883060","3806489"
"023790","동일철강","중견기업부","914","6","0.66","908","922","908","36626","33525580","18017377638","19712667"
"005290","동진쎄미켐","우량기업부","38650","-50","-0.13","38100","39150","38050","398671","15365365400","1987170193100","51414494"
"025900","동화기업","우량기업부","62800","-200","-0.32","62400","64800","60700","97599","6066624400","1269526806000","20215395"
"131970","두산테스나","우량기업부","45700","-1150","-2.45","46400","46500","45500","199294","9143331650","777200066200","17006566"
"073190","듀오백","중견기업부","2735","35","1.30","2700","2735","2675","30897","83854560","32732589400","11968040"
"030350","드래곤플라이","중견기업부","621","143","29.92","489","621","484","12930458","7793481076","43090552233","69388973"
"203650","드림시큐리티","벤처기업부","3725","-70","-1.84","3790","3855","3700","1180682","4430253155","188506433650","50605754"
"223250","드림씨아이에스","중견기업부","2865","-30","-1.04","2865","2905","2850","78935","226557130","67927087200","23709280"
"060570","드림어스컴퍼니","중견기업부","3230","55","1.73","3165","3295","3140","249044","804018455","244257680790","75621573"
"362990","드림인사이트","벤처기업부","2950","-95","-3.12","3070","3075","2930","107160","318649160","48651299700","16491966"
"217620","디딤이앤에프","중견기업부","441","-58","-11.62","499","515","423","8452013","3974087166","25466519610","57747210"
"016670","디모아","중견기업부","230","2","0.88","226","233","221","901194","203567367","23427345520","101858024"
"187870","디바이스이엔지","우량기업부","15250","-450","-2.87","15700","15700","15080","23198","354624230","107308287250","7036609"
"066670","디스플레이텍","우량기업부","5540","-40","-0.72","5520","5610","5460","195609","1086220430","103553225720","18691918"
"110990","디아이티","우량기업부","21500","1500","7.50","19950","21900","19630","572503","12115698400","406350000000","18900000"
"263690","디알젬","우량기업부","9940","-20","-0.20","9980","10000","9830","23138","228793890","112576563400","11325610"
"214680","디알텍","벤처기업부","3555","-80","-2.20","3610","3720","3555","585704","2103812940","260296317900","73219780"
"263720","디앤씨미디어","중견기업부","23750","-500","-2.06","24000","24200","23200","93923","2230901000","297456233750","12524473"
"376300","디어유","기술성장기업부","29800","350","1.19","29100","29800","29050","228063","6695036300","707404498800","23738406"
"109740","디에스케이","벤처기업부","5440","-20","-0.37","5480","5490","5330","57005","307830700","147015510400","27024910"
"196490","디에이테크놀로지","벤처기업부","1782","0","0.00","0","0","0","0","0","60377495904","33881872"
"066900","디에이피","우량기업부","3090","-70","-2.22","3160","3160","3090","12059","37518950","70280514270","22744503"
"127120","디엔에이링크","투자주의환기종목(소속부없음)","2760","-40","-1.43","2835","2855","2555","205526","562988450","51574894560","18686556"
"092070","디엔에프","우량기업부","21600","50","0.23","21250","21900","21200","100646","2167553800","249952132800","11571858"
"039840","디오","우량기업부","21350","300","1.43","20850","21400","20600","138416","2892745350","339075469250","15881755"
"219550","디와이디","중견기업부","1033","174","20.26","883","1099","883","34865249","35747503134","54011897685","52286445"
"310870","디와이씨","벤처기업부","1582","-34","-2.10","1610","1615","1575","45918","72990150","32727262722","20687271"
"104460","디와이피엔에프","우량기업부","20500","-100","-0.49","20700","21150","20350","45244","939478600","219629312500","10713625"
"079810","디이엔티","중견기업부","14710","-440","-2.90","15010","15100","14670","170964","2521591450","324033262740","22028094"
"113810","디젠스","중견기업부","1030","5","0.49","1025","1045","1013","230388","236860561","33606892530","32628051"
"043360","디지아이","벤처기업부","2695","60","2.28","2645","2705","2630","1896","5061435","24255000000","9000000"
"197140","디지캡","벤처기업부","4940","-140","-2.76","5000","5000","4710","321302","1567163115","47329418760","9580854"
"068930","디지털대성","우량기업부","6430","130","2.06","6300","6430","6230","42073","268018550","177952449060","27675342"
"033130","디지틀조선","중견기업부","2010","-20","-0.99","2025","2030","1997","554377","1112327737","74601686670","37115267"
"105740","디케이락","우량기업부","8350","-150","-1.76","8430","8520","8250","54985","459127600","84806883550","10156513"
